,unique.drugid,CGP.drugid,CCLE.drugid,GSK.drugid,NCI60.drugid,GRAY.drugid,GNE.drugid,CTRP.drugid,CMAP.drugid,CTRPv2.drugid,gCSI.drugid,UHNBreast.drugid,MERCK.drugid,GDSC1000.drugid,NCIALM.drugid,YALE_TNBC.drugid,smiles,inchikey,cid,GDSC2019.drugid,FIMM.drugid,FDA,PharmacoDB.uid,PharmacoDB.drugid
1,Erlotinib,Erlotinib,Erlotinib,NA,Erlotinib,Erlotinib,NA,NA,NA,erlotinib,erlotinib///Erlotinib,Erlotinib///erlotinib,Erlotinib,Erlotinib,NA,Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC.Cl,GTTBEUCJPZQMDZ-UHFFFAOYSA-N,176871,Erlotinib,Erlotinib,TRUE,PDBC00001,Erlotinib
2,Acadesine,AICAR,NA,NA,AICAR,NA,NA,NA,NA,NA,NA,NA,NA,AICAR,NA,NA,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N,RTRQQBHATOEIAF-UUOKFMHZSA-N,17513,AICA Ribonucleotide,NA,NA,PDBC00002,AICAR
3,Camptothecin,Camptothecin,NA,NA,Camptothecin,NA,NA,NA,camptothecin,NA,NA,NA,NA,Camptothecin,NA,NA,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,VSJKWCGYPAHWDS-FQEVSTJZSA-N,24360,Camptothecin,NA,NA,PDBC00003,Camptothecin
4,Vincaleukoblastine,Vinblastine,NA,NA,Vinblastine,NA,NA,NA,vinblastine,NA,Vinblastine,NA,Vinblastine,Vinblastine,NA,NA,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,KDQAABAKXDWYSZ-JKDPCDLQSA-N,241902,Vinblastine,NA,TRUE,PDBC00004,Vinblastine
5,Cisplatin,Cisplatin,NA,NA,Cisplatin,Cisplatin,NA,NA,NA,NA,Cisplatin,NA,NA,Cisplatin,NA,NA,[NH2-].[NH2-].Cl[Pt+2]Cl,DQLATGHUWYMOKM-UHFFFAOYSA-L,24191118,Cisplatin,NA,TRUE,PDBC00005,Cisplatin
6,Cytarabine,Cytarabine,NA,NA,Cytarabine,NA,NA,NA,NA,cytarabine hydrochloride,NA,NA,NA,Cytarabine,NA,NA,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl,KCURWTAZOZXKSJ-UHFFFAOYSA-N,5351180,Cytarabine,Cytarabine,TRUE,PDBC00006,Cytarabine
7,Docetaxel,Docetaxel,NA,NA,Docetaxel,Docetaxel,NA,NA,NA,docetaxel,docetaxel///Docetaxel,NA,NA,Docetaxel,NA,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,148124,Docetaxel,NA,TRUE,PDBC00007,Docetaxel
8,Methotrexate,Methotrexate,NA,NA,Methotrexate,Methotrexate,NA,NA,methotrexate,methotrexate,Methotrexate,NA,Methotrexate,Methotrexate,NA,NA,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,FBOZXECLQNJBKD-ZDUSSCGKSA-N,126941,Methotrexate,Methotrexate,TRUE,PDBC00008,Methotrexate
9,Tretinoin,ATRA,NA,NA,ATRA,NA,NA,ATRA,tretinoin,tretinoin,NA,NA,NA,ATRA,Tretinoin,NA,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SHGAZHPCJJPHSC-YCNIQYBTSA-N,444795,Tretinoin,Tretinoin,NA,PDBC00009,ATRA
10,Gefitinib,Gefitinib,NA,NA,Gefitinib,Gefitinib///Iressa,NA,NA,gefitinib,gefitinib,Gefitinib,NA,NA,Gefitinib,NA,NA,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,XGALLCVXEZPNRQ-UHFFFAOYSA-N,123631,Gefitinib,Gefitinib,TRUE,PDBC00010,Gefitinib
11,Navitoclax,ABT-263,NA,NA,NA,NA,NA,navitoclax,NA,navitoclax,NA,NA,NA,Navitoclax,NA,ABT-263,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,JLYAXFNOILIKPP-KXQOOQHDSA-N,24978538,Navitoclax,Navitoclax,NA,PDBC00011,ABT-263
